                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                 1.9359,                 1.0413,                  1.079,                0.71832,                0.42645,                0.44884,                0.15813,                 2.3472,                 1.1124,                 1.3293,              0.0015406,              0.0015406,              0.0015406
                    119,                 1.9056,                 1.0151,                 1.0706,                0.69843,                0.42645,                  0.448,                0.15448,                 2.3711,                  1.124,                 1.3266,              0.0015367,              0.0015367,              0.0015367
                    120,                 1.8884,                 1.0062,                 1.0689,                0.72952,                0.40854,                0.44745,                0.15893,                 2.3573,                 1.1263,                 1.3357,              0.0015327,              0.0015327,              0.0015327
                    121,                 1.9053,                 1.0472,                 1.0743,                0.69735,                0.43483,                 0.4534,                0.15651,                 2.3573,                 1.1265,                 1.3392,              0.0015288,              0.0015288,              0.0015288
                    122,                 1.8589,                0.99242,                  1.061,                0.68661,                0.43788,                0.44078,                0.15324,                 2.3813,                 1.1174,                 1.3631,              0.0015248,              0.0015248,              0.0015248
                    123,                 1.9114,                 1.0389,                 1.0776,                 0.6955,                0.42569,                0.43857,                0.15588,                 2.3524,                 1.1271,                 1.3323,              0.0015208,              0.0015208,              0.0015208
                    124,                 1.8868,                 1.0098,                 1.0825,                0.69044,                0.42378,                0.44155,                0.15807,                  2.336,                 1.1158,                 1.3283,              0.0015169,              0.0015169,              0.0015169
                    125,                 1.8928,                  1.025,                 1.0866,                0.67446,                0.42188,                0.43832,                0.15141,                 2.3717,                 1.1299,                 1.3465,              0.0015129,              0.0015129,              0.0015129
                    126,                 1.9149,                 1.0113,                 1.0725,                0.67442,                 0.4375,                0.44637,                0.15308,                 2.3622,                 1.1268,                 1.3332,               0.001509,               0.001509,               0.001509
                    127,                 1.9116,                 1.0192,                 1.0768,                0.67857,                0.43848,                0.45211,                0.15513,                  2.369,                 1.1052,                 1.3342,               0.001505,               0.001505,               0.001505
                    128,                 1.8696,                 1.0068,                 1.0744,                0.69559,                0.44055,                0.45852,                0.15746,                 2.3766,                 1.1039,                 1.3426,               0.001501,               0.001501,               0.001501
                    129,                 1.8401,                0.99109,                 1.0572,                0.71139,                0.42988,                0.44655,                 0.1551,                 2.3497,                  1.115,                 1.3383,              0.0014971,              0.0014971,              0.0014971
                    130,                 1.8673,                 1.0033,                 1.0628,                0.67921,                 0.4375,                0.44358,                0.15763,                 2.3434,                   1.11,                 1.3346,              0.0014931,              0.0014931,              0.0014931
                    131,                 1.8667,                0.99382,                 1.0542,                0.68159,                0.43293,                0.44722,                0.15335,                 2.3713,                  1.136,                 1.3411,              0.0014892,              0.0014892,              0.0014892
                    132,                 1.8789,                 1.0002,                 1.0664,                0.67684,                0.43674,                0.44491,                0.15355,                 2.3656,                 1.1239,                   1.35,              0.0014852,              0.0014852,              0.0014852
                    133,                 1.8186,                0.95523,                  1.056,                0.70221,                0.42797,                0.44378,                0.15554,                 2.3512,                 1.1284,                 1.3391,              0.0014812,              0.0014812,              0.0014812
                    134,                 1.8359,                0.98485,                 1.0585,                0.70759,                 0.4314,                0.45422,                0.15708,                  2.343,                  1.086,                 1.3488,              0.0014773,              0.0014773,              0.0014773
                    135,                 1.8313,                0.95758,                 1.0495,                0.68534,                0.42721,                 0.4357,                0.15092,                 2.3543,                 1.1104,                 1.3614,              0.0014733,              0.0014733,              0.0014733
                    136,                 1.8024,                0.96265,                 1.0338,                0.69673,                0.42901,                0.45375,                0.15776,                 2.3684,                 1.1046,                 1.3612,              0.0014694,              0.0014694,              0.0014694
                    137,                 1.8117,                0.95457,                 1.0491,                0.69492,                0.44398,                0.45596,                0.15644,                 2.3623,                 1.0974,                 1.3489,              0.0014654,              0.0014654,              0.0014654
                    138,                 1.7974,                 0.9545,                  1.061,                 0.6672,                0.44284,                0.44548,                0.15166,                 2.3619,                 1.1303,                 1.3539,              0.0014614,              0.0014614,              0.0014614
                    139,                 1.8277,                 0.9771,                 1.0626,                0.68209,                0.44055,                0.43961,                0.15255,                 2.3552,                 1.1255,                 1.3506,              0.0014575,              0.0014575,              0.0014575
                    140,                 1.8328,                0.98083,                 1.0539,                0.72117,                0.41654,                0.44432,                0.15543,                 2.3743,                  1.109,                 1.3469,              0.0014535,              0.0014535,              0.0014535
                    141,                 1.7883,                0.95231,                 1.0479,                0.68217,                0.43941,                0.45345,                0.15582,                 2.3694,                  1.114,                 1.3569,              0.0014496,              0.0014496,              0.0014496
